Treatment,Plant ID,Nodules
Control,C-Sb-1,352
Control,C-Sb-4,301
Control,C-Sb-5,376
Control,C-MBB-1,351
Control,C-MBB-3,406
Control,C-MBB-7,650
Control,C-Pf-2,475
Control,C-Pf-3,501
Control,C-Ex-1,812
Control,C-Ex-2,571
MP,MP-Sb-1,482
MP,MP-Sb-2,618
MP,MP-Sb-4,635
MP,MP-Sb-5,713
MP,MP-Sb-6,626
MP,MP-Sb-7,591
MP,MP-Sb-8,423
MP,MP-Pf-2,396
MP,MP-Pf-4,434
MP,MP-Pf-7,483
